GEN,HDNG,DTM,GFD,PH,SL,GWPS,GNPS,SPMS,YPMS,BYPMS,TGW
DW1615,74.67,98.00,23.50,69.33,8.37,1.55,39.00,422.50,655.00,1477.67,39.92
DW1616,73.00,89.00,16.00,68.33,9.50,1.12,38.00,307.50,343.00,830.00,29.54
DW1627,60.00,91.00,31.00,64.67,8.23,0.60,32.00,332.50,198.67,759.00,18.64
DW1628,65.00,91.00,26.00,66.00,8.90,0.84,34.67,252.50,212.33,1205.00,24.38
DW1629,66.00,90.00,24.00,70.67,7.30,0.62,32.00,241.50,150.00,1333.00,19.53
DW1630,71.67,95.50,24.00,70.67,9.67,0.91,35.67,317.00,290.00,1105.00,25.76
DW1631,74.00,92.50,18.50,66.00,8.30,0.87,36.33,270.00,236.00,1011.00,24.09
DW1632,69.00,89.00,20.00,60.00,8.07,1.13,39.00,292.50,332.00,923.00,29.27
DW1633,76.00,98.00,22.00,77.00,10.10,1.35,41.00,341.00,459.67,941.00,32.91
DW1634,68.67,97.50,29.00,67.00,8.90,1.36,41.67,456.50,622.33,1022.67,32.86
DW1635,74.00,94.00,20.00,65.67,9.47,1.37,41.67,471.50,647.33,735.00,33.09
DW1636,69.67,94.50,25.00,86.00,9.70,1.75,43.00,430.00,750.67,1058.00,40.54
DW1637,69.00,100.50,31.50,77.00,9.47,1.26,41.33,345.00,434.00,733.00,30.53
DW1638,71.00,99.50,28.50,74.00,8.27,1.57,29.00,315.00,494.67,1000.00,54.16
DW1639,72.67,96.50,24.00,54.67,8.07,0.85,31.67,285.00,243.33,551.00,27.10
DW1640,71.67,97.00,25.50,63.00,9.00,0.79,32.67,324.00,257.33,736.00,24.34
DW1642,71.00,94.00,23.00,70.67,8.07,1.17,41.00,471.00,553.00,746.00,28.68
DW1643,74.00,97.50,23.50,63.33,10.23,1.04,39.00,344.50,359.00,733.00,26.71
DW1644,74.00,97.00,23.00,65.67,8.47,1.43,38.00,307.50,440.67,755.00,37.71
DW1645,72.67,92.50,20.00,69.67,10.07,1.33,47.33,300.00,399.33,507.00,28.17
HD2864,71.00,96.00,25.00,65.67,9.17,0.65,27.00,313.50,204.67,923.67,24.25
HD2932,70.00,94.50,24.50,63.00,8.80,0.85,35.67,278.00,237.00,1022.00,23.95
HD3059,73.67,96.00,22.50,74.00,7.40,1.39,38.00,371.50,516.00,751.00,36.52
HD3086,50.00,82.00,32.00,65.00,8.70,0.59,30.00,397.50,233.33,1021.00,19.64
HD3090,70.00,100.00,30.00,64.00,7.10,1.21,39.00,302.00,365.33,996.00,31.24
HD3171,70.00,96.00,26.00,77.00,7.70,0.94,35.00,315.00,294.67,1221.00,26.73
HD3184,73.00,95.00,22.00,68.00,8.30,0.83,35.00,282.50,236.00,752.00,24.02
HD3249,67.00,93.00,26.00,66.00,9.37,1.10,37.00,262.50,290.00,956.67,29.95
HD3252,70.00,97.00,27.00,69.00,9.03,0.91,36.67,277.50,253.00,1023.00,24.93
HD3255,74.00,99.50,25.50,50.67,10.37,1.29,39.67,435.00,563.00,1140.00,32.72
HD3262,69.00,101.00,32.00,81.33,8.47,1.43,38.00,515.00,733.33,1243.00,37.46
HD3265,65.00,98.00,33.00,67.00,9.30,1.17,41.67,432.50,506.00,1190.00,28.19
HD3266,73.00,96.50,23.50,78.33,9.53,1.47,37.67,534.00,783.33,962.00,39.07
HD3318,67.67,98.50,31.00,71.00,8.53,0.73,30.00,410.00,299.33,761.00,24.25
HDCSW18,75.00,99.50,24.50,72.00,8.37,1.70,39.67,348.00,590.00,845.00,42.94
WR544,46.00,79.00,33.00,68.33,7.97,0.75,33.33,291.50,220.33,508.00,22.54
